title,impact,time,country
"Greek Parliamentary Election","High",2015-01-25T08:30:00Z,"EUR"
"German Ifo Business Climate","High",2015-01-26T09:00:00Z,"EUR"
"BBA Mortgage Approvals","Medium",2015-01-27T09:30:00Z,"GBP"
"Core Durable Goods Orders m/m","High",2015-01-27T13:30:00Z,"USD"
"Richmond Manufacturing Index","Low",2015-01-27T15:00:00Z,"USD"
"German Import Prices m/m","Low",2015-01-28T07:00:00Z,"EUR"
"FOMC Statement","High",2015-01-28T19:00:00Z,"USD"
"Retail Sales y/y","Medium",2015-01-28T23:50:00Z,"JPY"
"M3 Money Supply y/y","Medium",2015-01-29T09:00:00Z,"EUR"
"Pending Home Sales m/m","Medium",2015-01-29T15:00:00Z,"USD"
"Unemployment Rate","Low",2015-01-29T23:30:00Z,"JPY"
"Private Sector Credit m/m","Low",2015-01-30T12:30:00Z,"AUD"
"KOF Economic Barometer","Medium",2015-01-30T08:00:00Z,"CHF"
"Mortgage Approvals","Low",2015-01-30T09:30:00Z,"GBP"
"Advance GDP q/q","High",2015-01-30T13:30:00Z,"USD"
"Revised UoM Consumer Sentiment","Medium",2015-01-30T15:00:00Z,"USD"
"Bank Holiday","Holiday",2015-01-25T21:00:00Z,"AUD"
"Eurogroup Meetings","Medium",2015-01-26T10:15:00Z,"EUR"
"Index of Services 3m/3m","Low",2015-01-27T09:30:00Z,"GBP"
"S&P/CS Composite-20 HPI y/y","Low",2015-01-27T14:00:00Z,"USD"
"MI Leading Index m/m","Low",2015-01-27T23:30:00Z,"AUD"
"GfK German Consumer Climate","Medium",2015-01-28T07:00:00Z,"EUR"
"Official Cash Rate","High",2015-01-28T20:00:00Z,"NZD"
"Import Prices q/q","Medium",2015-01-29T12:30:00Z,"AUD"
"Private Loans y/y","Medium",2015-01-29T09:00:00Z,"EUR"
"Natural Gas Storage","Low",2015-01-29T15:30:00Z,"USD"
"National Core CPI y/y","Low",2015-01-29T23:30:00Z,"JPY"
"PPI q/q","High",2015-01-30T12:30:00Z,"AUD"
"Spanish Flash GDP q/q","Medium",2015-01-30T08:00:00Z,"EUR"
"Net Lending to Individuals m/m","Medium",2015-01-30T09:30:00Z,"GBP"
"Advance GDP Price Index q/q","Medium",2015-01-30T13:30:00Z,"USD"
"Revised UoM Inflation Expectations","Low",2015-01-30T15:00:00Z,"USD"
"Trade Balance","Medium",2015-01-25T23:50:00Z,"JPY"
"SPPI y/y","Low",2015-01-26T23:50:00Z,"JPY"
"Prelim GDP q/q","High",2015-01-27T09:30:00Z,"GBP"
"Flash Services PMI","Low",2015-01-27T14:45:00Z,"USD"
"CPI q/q","High",2015-01-28T12:30:00Z,"AUD"
"German 30-y Bond Auction","Low",2015-01-28T10:03:00Z,"EUR"
"RBNZ Rate Statement","High",2015-01-28T20:00:00Z,"NZD"
"Nationwide HPI m/m","Medium",2015-01-29T07:00:00Z,"GBP"
"Italian 10-y Bond Auction","Medium",2015-01-29T10:03:00Z,"EUR"
"Visitor Arrivals m/m","Low",2015-01-29T21:45:00Z,"NZD"
"Tokyo Core CPI y/y","Medium",2015-01-29T23:30:00Z,"JPY"
"Housing Starts y/y","Low",2015-01-30T05:00:00Z,"JPY"
"Spanish Flash CPI y/y","Medium",2015-01-30T08:00:00Z,"EUR"
"Unemployment Rate","Medium",2015-01-30T10:00:00Z,"EUR"
"Employment Cost Index q/q","Medium",2015-01-30T13:30:00Z,"USD"
"Manufacturing PMI","High",2015-02-01T01:00:00Z,"CNY"
"Monetary Policy Meeting Minutes","Medium",2015-01-25T23:50:00Z,"JPY"
"NAB Business Confidence","High",2015-01-27T12:30:00Z,"AUD"
"ECOFIN Meetings","Medium",2015-01-27T10:15:00Z,"EUR"
"CB Consumer Confidence","High",2015-01-27T15:00:00Z,"USD"
"Trimmed Mean CPI q/q","Medium",2015-01-28T12:30:00Z,"AUD"
"Crude Oil Inventories","Medium",2015-01-28T15:30:00Z,"USD"
"Trade Balance","High",2015-01-28T21:45:00Z,"NZD"
"German Prelim CPI m/m","High",2015-01-29T07:29:00Z,"EUR"
"CBI Realized Sales","Medium",2015-01-29T11:00:00Z,"GBP"
"Building Consents m/m","Medium",2015-01-29T21:45:00Z,"NZD"
"Prelim Industrial Production m/m","Medium",2015-01-29T23:50:00Z,"JPY"
"German Retail Sales m/m","Medium",2015-01-30T07:00:00Z,"EUR"
"Italian Monthly Unemployment Rate","Low",2015-01-30T09:00:00Z,"EUR"
"Core CPI Flash Estimate y/y","Medium",2015-01-30T10:00:00Z,"EUR"
"GDP m/m","High",2015-01-30T13:30:00Z,"CAD"
"Non-Manufacturing PMI","Medium",2015-02-01T01:00:00Z,"CNY"
"Credit Card Spending y/y","Low",2015-01-26T02:00:00Z,"NZD"
"CB Leading Index m/m","Low",2015-01-27T02:00:00Z,"CNY"
"Durable Goods Orders m/m","Medium",2015-01-27T13:30:00Z,"USD"
"New Home Sales","High",2015-01-27T15:00:00Z,"USD"
"UBS Consumption Indicator","Low",2015-01-28T07:00:00Z,"CHF"
"Federal Funds Rate","High",2015-01-28T19:00:00Z,"USD"
"CB Leading Index m/m","Low",2015-01-28T23:00:00Z,"AUD"
"German Unemployment Change","Medium",2015-01-29T08:55:00Z,"EUR"
"Unemployment Claims","High",2015-01-29T13:30:00Z,"USD"
"Household Spending y/y","Medium",2015-01-29T23:30:00Z,"JPY"
"GfK Consumer Confidence","Low",2015-01-30T12:05:00Z,"GBP"
"French Consumer Spending m/m","Medium",2015-01-30T07:45:00Z,"EUR"
"M4 Money Supply m/m","Low",2015-01-30T09:30:00Z,"GBP"
"CPI Flash Estimate y/y","High",2015-01-30T10:00:00Z,"EUR"
"Chicago PMI","Medium",2015-01-30T14:45:00Z,"USD"
"MI Inflation Gauge m/m","Low",2015-02-01T23:30:00Z,"AUD"
"Spanish Manufacturing PMI","Medium",2015-02-02T08:15:00Z,"EUR"
"Core PCE Price Index m/m","Medium",2015-02-02T13:30:00Z,"USD"
"ISM Manufacturing PMI","High",2015-02-02T15:00:00Z,"USD"
"Building Approvals m/m","High",2015-02-03T12:30:00Z,"AUD"
"Construction PMI","High",2015-02-03T09:30:00Z,"GBP"
"GDT Price Index","High",2015-02-03T13:33:00Z,"NZD"
"Unemployment Rate","High",2015-02-03T21:45:00Z,"NZD"
"Average Cash Earnings y/y","Medium",2015-02-04T01:30:00Z,"JPY"
"Final Services PMI","Low",2015-02-04T09:00:00Z,"EUR"
